Month,Day,Inquirer.net,Manila Bulletin,The Asian Journal USA,The Manila Times,Business World,Eagle News,Metro Cebu News,Tempo,Abante Tonite,Philippine News Agency,InterAksyon,Business Mirror,The Summit Express,Our Daily News Online,Current PH,SunStar Philippines,Rappler,The Bohol Chronicle,Baguio Midland Courier,GMA News Online,Cebu Daily News,ABS-CBN News,Philstar.com,Manila Standard,Daily Tribune,Davao Today,Sunday Punch,Visayan Daily Star,PTV News,Mindanao Times,PhilNews.XYZ,Northern Dispatch
February,13,0,0,0,94,9,0,0,0,0,0,0,6,0,0,0,6,3,0,0,7,5,5,11,6,7,1,0,0,0,0,0,0
February,14,0,0,0,92,5,0,0,0,0,0,1,5,0,0,0,10,1,0,0,2,2,8,15,11,5,1,0,0,0,0,0,0
February,15,0,0,0,112,5,0,0,0,0,0,1,4,0,0,0,9,3,0,0,2,7,8,12,14,10,0,0,1,2,0,0,0
February,16,0,0,0,97,5,0,1,0,0,0,1,9,0,0,0,10,1,0,0,1,0,1,12,15,9,1,0,0,0,0,0,0
February,17,0,0,0,69,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,2,5,2,5,0,0,0,0,0,0,0
February,18,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,4,1,0,0,1,0,1,8,4,2,0,0,0,0,0,0,0
February,19,0,0,0,16,8,0,0,0,0,0,0,7,0,0,0,4,3,0,0,2,1,4,10,5,3,0,0,0,1,0,0,0
February,20,0,0,0,59,4,0,0,0,0,0,0,10,0,0,0,8,2,0,0,1,2,2,8,5,5,0,0,0,2,0,0,0
February,21,0,0,0,108,4,0,0,0,0,0,0,8,0,0,0,9,2,0,0,3,2,1,9,7,6,0,0,1,2,0,0,0
February,22,0,0,0,122,4,0,0,0,0,0,1,8,0,0,1,3,1,0,0,5,2,0,12,9,7,0,0,0,0,0,0,0
February,23,0,0,0,103,3,0,0,0,0,0,0,4,0,0,0,6,2,0,0,4,3,3,8,3,9,0,0,0,1,0,0,0
February,24,0,0,0,50,0,0,0,0,0,0,0,6,0,0,0,2,3,0,0,2,0,1,8,4,3,0,0,1,0,0,0,0
February,25,0,0,0,13,2,0,0,0,0,0,0,3,0,0,0,4,1,0,0,3,2,0,7,7,0,0,0,0,0,0,0,0
February,26,0,0,0,17,11,0,0,0,0,0,1,9,0,0,0,3,2,0,0,4,1,1,13,10,10,0,0,1,2,0,0,0
February,27,0,0,0,99,9,0,0,0,0,0,2,9,0,0,0,9,4,0,0,3,1,5,9,5,9,0,0,1,0,0,0,0
February,28,0,0,0,124,7,0,0,0,0,0,0,8,0,0,0,11,4,0,0,0,1,2,6,8,3,2,0,1,1,0,0,0
February,29,0,0,0,118,8,0,0,0,0,0,0,5,0,0,0,4,7,0,0,9,3,2,9,6,10,1,0,1,0,0,0,0
March,1,0,0,0,119,6,0,1,0,0,0,1,5,0,0,0,5,1,0,0,1,0,2,14,8,9,0,0,0,2,0,0,0
March,2,0,0,0,72,0,0,0,0,0,0,0,6,0,0,0,5,1,0,0,0,1,1,10,7,7,0,0,2,0,0,0,0
March,3,0,0,0,13,2,0,0,0,0,0,0,9,0,0,0,1,3,0,0,2,0,1,8,7,7,1,0,0,0,0,0,1
March,4,0,0,0,19,5,0,1,0,0,0,0,13,0,0,0,6,2,1,0,2,1,1,9,5,9,1,0,0,0,0,0,0
March,5,0,0,0,106,4,0,0,0,0,0,2,7,1,0,0,10,0,0,0,3,2,4,8,7,11,0,0,1,2,0,0,0
March,6,0,0,0,130,4,0,0,0,0,0,1,9,0,0,0,9,4,0,0,7,1,2,17,4,6,0,0,1,1,0,0,0
March,7,0,0,0,121,9,0,0,0,0,0,0,4,1,0,0,9,4,1,0,2,1,2,14,6,9,0,0,0,1,0,0,0
March,8,0,0,0,115,4,0,0,0,0,0,1,11,0,0,0,6,4,0,0,3,3,3,18,6,8,0,0,2,1,0,0,0
March,9,0,0,0,88,1,0,1,0,0,0,0,7,0,0,0,6,3,0,0,1,1,2,9,5,4,1,0,0,0,0,0,0
March,10,0,0,0,16,1,0,0,0,0,0,4,5,0,0,0,2,3,0,0,0,0,1,7,7,4,0,0,0,0,0,0,0
March,11,0,0,0,14,14,0,1,0,0,0,0,10,0,0,0,6,2,0,0,0,0,3,7,7,9,1,0,1,0,0,0,0
March,12,0,0,0,90,4,0,0,0,0,0,0,5,0,0,0,3,4,0,0,4,1,1,13,5,3,2,0,1,0,0,0,0
March,13,0,0,0,111,6,0,0,0,0,0,1,10,2,0,0,6,3,1,0,6,1,5,13,9,8,1,0,1,1,0,0,0
March,14,0,0,0,112,7,0,1,0,0,0,1,9,0,0,1,3,4,1,0,9,5,15,18,6,17,0,0,1,3,0,0,0
March,15,0,0,0,115,5,0,1,0,0,0,1,7,0,0,0,5,3,0,0,5,5,8,24,14,13,0,0,2,0,0,0,0
March,16,0,0,0,71,0,0,0,0,0,0,0,6,0,0,0,8,3,0,0,1,1,2,15,5,4,0,0,2,0,0,0,0
March,17,0,0,0,8,2,0,0,0,0,0,0,7,0,0,0,4,1,0,0,2,1,0,3,6,13,0,1,0,0,0,0,1
March,18,0,0,0,18,6,0,0,0,0,0,0,10,0,0,0,9,5,1,0,4,2,5,10,17,13,0,0,1,1,0,0,0
March,19,0,0,0,122,3,0,0,0,0,0,1,6,0,0,0,13,3,0,0,10,0,3,12,4,15,0,0,0,0,0,0,0
March,20,0,0,0,120,10,0,0,0,0,0,0,6,0,0,0,6,4,0,0,3,1,0,7,6,7,0,0,1,1,0,0,0
March,21,0,0,0,145,5,0,1,0,0,0,0,9,0,0,0,12,3,0,0,6,2,4,15,7,8,0,0,3,2,0,0,0
March,22,0,0,0,118,9,0,1,0,0,0,1,9,0,0,0,5,5,1,0,8,1,7,10,10,14,0,0,1,1,0,0,0
March,23,0,0,0,80,0,0,1,0,0,0,0,4,0,0,0,3,2,0,0,1,5,2,12,6,11,0,0,3,0,0,0,0
March,24,0,0,0,10,2,0,0,0,0,0,2,6,0,0,0,2,1,0,0,1,2,3,12,6,6,0,1,0,0,0,0,0
March,25,0,0,0,24,10,0,0,0,0,0,2,6,0,0,0,6,3,0,0,1,2,5,9,9,4,0,0,0,1,0,0,0
March,26,0,0,0,70,4,0,0,0,0,0,0,11,1,0,0,4,3,0,0,3,2,1,9,4,8,0,0,1,0,0,0,0
March,27,0,0,0,135,7,0,1,0,0,0,2,9,0,0,0,5,5,0,0,2,0,3,10,1,5,0,0,1,1,0,0,0
March,28,0,0,0,111,0,0,1,0,0,0,0,5,0,0,0,4,6,0,0,3,0,2,8,1,1,0,0,0,0,0,0,0
March,29,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0
March,30,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0
March,31,0,0,0,3,3,0,0,0,0,0,0,5,0,0,0,2,2,0,0,1,2,1,14,4,4,0,0,0,0,0,0,0
April,1,0,0,0,30,5,0,0,0,0,0,0,10,0,0,0,5,1,0,0,4,0,3,9,12,5,0,0,0,1,0,0,0
April,2,0,0,0,9,6,0,0,0,0,0,1,8,0,0,0,9,5,0,0,5,5,5,15,5,11,1,0,0,1,0,0,0
April,3,0,0,0,51,7,0,0,0,0,0,0,10,0,0,0,11,3,0,0,3,2,2,5,9,16,1,0,0,0,0,0,0
April,4,0,0,0,81,3,0,1,0,0,0,0,8,0,0,0,9,1,0,0,5,2,4,13,9,4,0,0,0,0,0,0,0
April,5,0,0,0,59,8,0,0,0,0,0,1,7,0,0,2,11,4,0,0,6,1,4,8,5,7,2,0,1,2,0,0,0
April,6,0,0,0,17,0,0,0,0,0,0,0,7,0,0,0,4,1,0,0,1,0,2,25,9,12,1,0,0,0,0,0,0
April,7,0,0,0,8,3,0,0,0,0,0,1,5,0,0,0,2,1,0,0,1,1,1,10,4,12,0,0,0,0,0,0,0
April,8,0,0,0,46,5,0,1,0,0,0,3,2,0,0,0,3,2,0,0,4,0,5,12,10,10,2,0,1,0,0,0,0
April,9,0,0,0,71,3,0,0,0,0,0,1,6,0,0,0,4,3,0,0,1,0,1,9,1,5,5,0,0,0,0,0,0
April,10,0,0,0,79,4,0,0,0,0,0,0,8,0,0,0,5,3,0,0,2,3,3,8,4,11,1,0,0,0,0,0,0
April,11,0,0,0,65,7,0,0,0,0,0,1,11,0,0,0,7,3,0,0,7,3,5,8,6,11,1,0,0,0,0,0,0
April,12,0,0,0,66,10,0,0,0,0,0,0,9,0,0,0,6,3,0,0,4,0,3,12,13,10,2,0,0,1,0,0,0
April,13,0,0,0,25,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,2,2,8,3,4,0,0,2,0,0,0,0
April,14,0,0,0,3,1,0,0,0,0,0,0,5,0,0,0,3,2,0,0,1,0,1,8,8,4,0,1,0,0,0,0,1
April,15,0,0,0,35,2,0,0,0,0,0,0,5,0,0,0,9,3,1,0,2,0,2,7,12,10,0,0,0,1,0,0,1
April,16,0,0,0,96,8,0,0,0,0,0,0,4,0,0,0,8,5,0,0,4,1,2,8,7,14,2,0,1,2,0,0,0
April,17,0,0,0,92,4,0,0,0,0,0,2,11,0,0,0,4,6,0,0,4,1,3,14,8,9,2,0,1,1,0,0,0
April,18,0,0,0,108,3,0,1,0,0,0,1,5,0,0,0,7,2,0,0,2,2,4,13,7,6,1,0,1,0,0,0,0
April,19,0,0,0,68,2,0,0,0,0,0,2,6,0,0,0,9,1,0,0,4,4,7,11,6,9,0,0,0,1,0,0,0
April,20,0,0,0,19,0,0,0,0,0,0,0,6,0,0,0,3,5,0,0,2,0,0,10,8,6,0,0,0,0,0,0,0
April,21,0,0,0,7,1,0,0,0,0,0,1,3,0,0,0,2,3,0,0,0,0,3,11,7,6,0,2,0,0,0,0,0
April,22,0,0,0,61,11,0,0,0,0,0,1,12,0,0,0,6,3,0,0,2,3,6,20,4,24,0,0,0,0,0,0,0
April,23,0,0,0,90,3,0,0,0,0,0,1,12,0,0,0,6,4,0,0,6,2,8,10,16,11,1,0,0,1,0,0,0
April,24,0,0,0,108,8,0,0,0,0,0,0,13,0,0,0,9,4,0,0,6,0,3,13,11,8,1,0,1,1,0,0,0
April,25,0,0,0,96,9,0,0,0,0,0,1,7,0,0,1,4,5,0,0,6,1,6,11,11,6,0,0,3,1,0,0,0
April,26,0,0,0,106,5,0,0,0,0,0,0,8,0,0,0,10,2,0,0,4,0,4,7,11,12,0,0,2,0,0,0,0
April,27,0,0,0,25,0,0,1,0,0,0,0,10,0,0,0,8,3,0,0,0,2,1,13,4,11,0,0,0,0,0,0,0
April,28,0,0,0,14,4,0,0,0,0,0,1,6,0,0,0,4,1,0,0,0,1,2,5,4,2,0,2,0,0,0,0,2
April,29,0,0,0,60,5,0,0,0,0,0,0,7,0,0,0,2,0,0,0,5,2,4,7,14,17,0,0,2,0,0,0,1
April,30,0,0,0,112,6,0,0,0,0,0,1,8,0,0,0,10,5,0,0,6,1,2,17,11,12,1,0,0,1,0,0,0
